( [30, 68[ [100, 100[ ) ( [241/8, 243/8[ )
( [68, 123[ [100, 100[ ) ( [243/8, 245/8[ )
( [123, 178[ [100, 100[ ) ( [245/8, 247/8[ )
( [178, 233[ [100, 100[ ) ( [247/8, 249/8[ )
( [233, 288[ [100, 100[ ) ( [249/8, 251/8[ )
( [288, 343[ [100, 100[ ) ( [251/8, 253/8[ )
( [343, 398[ [100, 100[ ) ( [253/8, 255/8[ )
( [398, 453[ [100, 100[ ) ( [255/8, 257/8[ )
( [453, 508[ [100, 100[ ) ( [257/8, 259/8[ )
( [508, 563[ [100, 100[ ) ( [259/8, 261/8[ )
( [563, 618[ [100, 100[ ) ( [261/8, 263/8[ )
( [618, 673[ [100, 100[ ) ( [263/8, 265/8[ )
( [673, 728[ [100, 100[ ) ( [265/8, 267/8[ )
