( [30, 68[ [100, 100[ ) ( [169/8, 171/8[ )
( [68, 123[ [100, 100[ ) ( [171/8, 173/8[ )
( [123, 178[ [100, 100[ ) ( [173/8, 175/8[ )
( [178, 233[ [100, 100[ ) ( [175/8, 177/8[ )
( [233, 288[ [100, 100[ ) ( [177/8, 179/8[ )
( [288, 343[ [100, 100[ ) ( [179/8, 181/8[ )
( [343, 398[ [100, 100[ ) ( [181/8, 183/8[ )
( [398, 453[ [100, 100[ ) ( [183/8, 185/8[ )
( [453, 508[ [100, 100[ ) ( [185/8, 187/8[ )
( [508, 563[ [100, 100[ ) ( [187/8, 189/8[ )
( [563, 618[ [100, 100[ ) ( [189/8, 191/8[ )
( [618, 673[ [100, 100[ ) ( [191/8, 193/8[ )
( [673, 728[ [100, 100[ ) ( [193/8, 195/8[ )
