( [30, 68[ [100, 100[ ) ( [217/8, 219/8[ )
( [68, 123[ [100, 100[ ) ( [219/8, 221/8[ )
( [123, 178[ [100, 100[ ) ( [221/8, 223/8[ )
( [178, 233[ [100, 100[ ) ( [223/8, 225/8[ )
( [233, 288[ [100, 100[ ) ( [225/8, 227/8[ )
( [288, 343[ [100, 100[ ) ( [227/8, 229/8[ )
( [343, 398[ [100, 100[ ) ( [229/8, 231/8[ )
( [398, 453[ [100, 100[ ) ( [231/8, 233/8[ )
( [453, 508[ [100, 100[ ) ( [233/8, 235/8[ )
( [508, 563[ [100, 100[ ) ( [235/8, 237/8[ )
( [563, 618[ [100, 100[ ) ( [237/8, 239/8[ )
( [618, 673[ [100, 100[ ) ( [239/8, 241/8[ )
( [673, 728[ [100, 100[ ) ( [241/8, 243/8[ )
