( [30, 68[ [100, 100[ ) ( [25/8, 27/8[ )
( [68, 123[ [100, 100[ ) ( [27/8, 29/8[ )
( [123, 178[ [100, 100[ ) ( [29/8, 31/8[ )
( [178, 233[ [100, 100[ ) ( [31/8, 33/8[ )
( [233, 288[ [100, 100[ ) ( [33/8, 35/8[ )
( [288, 343[ [100, 100[ ) ( [35/8, 37/8[ )
( [343, 398[ [100, 100[ ) ( [37/8, 39/8[ )
( [398, 453[ [100, 100[ ) ( [39/8, 41/8[ )
( [453, 508[ [100, 100[ ) ( [41/8, 43/8[ )
( [508, 563[ [100, 100[ ) ( [43/8, 45/8[ )
( [563, 618[ [100, 100[ ) ( [45/8, 47/8[ )
( [618, 673[ [100, 100[ ) ( [47/8, 49/8[ )
( [673, 728[ [100, 100[ ) ( [49/8, 51/8[ )
