( [31, 69[ [100, 100[ ) ( [1505/8, 1507/8[ )
( [69, 109[ [100, 100[ ) ( [1507/8, 1509/8[ )
( [109, 149[ [100, 100[ ) ( [1509/8, 1511/8[ )
( [149, 189[ [100, 100[ ) ( [1511/8, 1513/8[ )
( [189, 229[ [100, 100[ ) ( [1513/8, 1515/8[ )
( [229, 269[ [100, 100[ ) ( [1515/8, 1517/8[ )
( [269, 309[ [100, 100[ ) ( [1517/8, 1519/8[ )
( [309, 349[ [100, 100[ ) ( [1519/8, 1521/8[ )
( [349, 389[ [100, 100[ ) ( [1521/8, 1523/8[ )
( [389, 429[ [100, 100[ ) ( [1523/8, 1525/8[ )
( [429, 469[ [100, 100[ ) ( [1525/8, 1527/8[ )
( [469, 509[ [100, 100[ ) ( [1527/8, 1529/8[ )
( [509, 549[ [100, 100[ ) ( [1529/8, 1531/8[ )
( [549, 589[ [100, 100[ ) ( [1531/8, 1533/8[ )
( [589, 629[ [100, 100[ ) ( [1533/8, 1535/8[ )
( [629, 669[ [100, 100[ ) ( [1535/8, 1537/8[ )
( [669, 709[ [100, 100[ ) ( [1537/8, 1539/8[ )
