( [30, 68[ [100, 100[ ) ( [1505/8, 1507/8[ )
( [68, 108[ [100, 100[ ) ( [1507/8, 1509/8[ )
( [108, 148[ [100, 100[ ) ( [1509/8, 1511/8[ )
( [148, 188[ [100, 100[ ) ( [1511/8, 1513/8[ )
( [188, 228[ [100, 100[ ) ( [1513/8, 1515/8[ )
( [228, 268[ [100, 100[ ) ( [1515/8, 1517/8[ )
( [268, 308[ [100, 100[ ) ( [1517/8, 1519/8[ )
( [308, 348[ [100, 100[ ) ( [1519/8, 1521/8[ )
( [348, 388[ [100, 100[ ) ( [1521/8, 1523/8[ )
( [388, 428[ [100, 100[ ) ( [1523/8, 1525/8[ )
( [428, 468[ [100, 100[ ) ( [1525/8, 1527/8[ )
( [468, 508[ [100, 100[ ) ( [1527/8, 1529/8[ )
( [508, 548[ [100, 100[ ) ( [1529/8, 1531/8[ )
( [548, 588[ [100, 100[ ) ( [1531/8, 1533/8[ )
( [588, 628[ [100, 100[ ) ( [1533/8, 1535/8[ )
( [628, 668[ [100, 100[ ) ( [1535/8, 1537/8[ )
( [668, 708[ [100, 100[ ) ( [1537/8, 1539/8[ )
