( [31, 69[ [100, 100[ ) ( [993/8, 995/8[ )
( [69, 109[ [100, 100[ ) ( [995/8, 997/8[ )
( [109, 149[ [100, 100[ ) ( [997/8, 999/8[ )
( [149, 189[ [100, 100[ ) ( [999/8, 1001/8[ )
( [189, 229[ [100, 100[ ) ( [1001/8, 1003/8[ )
( [229, 269[ [100, 100[ ) ( [1003/8, 1005/8[ )
( [269, 309[ [100, 100[ ) ( [1005/8, 1007/8[ )
( [309, 349[ [100, 100[ ) ( [1007/8, 1009/8[ )
( [349, 389[ [100, 100[ ) ( [1009/8, 1011/8[ )
( [389, 429[ [100, 100[ ) ( [1011/8, 1013/8[ )
( [429, 469[ [100, 100[ ) ( [1013/8, 1015/8[ )
( [469, 509[ [100, 100[ ) ( [1015/8, 1017/8[ )
( [509, 549[ [100, 100[ ) ( [1017/8, 1019/8[ )
( [549, 589[ [100, 100[ ) ( [1019/8, 1021/8[ )
( [589, 629[ [100, 100[ ) ( [1021/8, 1023/8[ )
( [629, 669[ [100, 100[ ) ( [1023/8, 1025/8[ )
( [669, 709[ [100, 100[ ) ( [1025/8, 1027/8[ )
