( [31, 69[ [100, 100[ ) ( [1633/8, 1635/8[ )
( [69, 109[ [100, 100[ ) ( [1635/8, 1637/8[ )
( [109, 149[ [100, 100[ ) ( [1637/8, 1639/8[ )
( [149, 189[ [100, 100[ ) ( [1639/8, 1641/8[ )
( [189, 229[ [100, 100[ ) ( [1641/8, 1643/8[ )
( [229, 269[ [100, 100[ ) ( [1643/8, 1645/8[ )
( [269, 309[ [100, 100[ ) ( [1645/8, 1647/8[ )
( [309, 349[ [100, 100[ ) ( [1647/8, 1649/8[ )
( [349, 389[ [100, 100[ ) ( [1649/8, 1651/8[ )
( [389, 429[ [100, 100[ ) ( [1651/8, 1653/8[ )
( [429, 469[ [100, 100[ ) ( [1653/8, 1655/8[ )
( [469, 509[ [100, 100[ ) ( [1655/8, 1657/8[ )
( [509, 549[ [100, 100[ ) ( [1657/8, 1659/8[ )
( [549, 589[ [100, 100[ ) ( [1659/8, 1661/8[ )
( [589, 629[ [100, 100[ ) ( [1661/8, 1663/8[ )
( [629, 669[ [100, 100[ ) ( [1663/8, 1665/8[ )
( [669, 709[ [100, 100[ ) ( [1665/8, 1667/8[ )
