( [30, 68[ [100, 100[ ) ( [1441/8, 1443/8[ )
( [68, 108[ [100, 100[ ) ( [1443/8, 1445/8[ )
( [108, 148[ [100, 100[ ) ( [1445/8, 1447/8[ )
( [148, 188[ [100, 100[ ) ( [1447/8, 1449/8[ )
( [188, 228[ [100, 100[ ) ( [1449/8, 1451/8[ )
( [228, 268[ [100, 100[ ) ( [1451/8, 1453/8[ )
( [268, 308[ [100, 100[ ) ( [1453/8, 1455/8[ )
( [308, 348[ [100, 100[ ) ( [1455/8, 1457/8[ )
( [348, 388[ [100, 100[ ) ( [1457/8, 1459/8[ )
( [388, 428[ [100, 100[ ) ( [1459/8, 1461/8[ )
( [428, 468[ [100, 100[ ) ( [1461/8, 1463/8[ )
( [468, 508[ [100, 100[ ) ( [1463/8, 1465/8[ )
( [508, 548[ [100, 100[ ) ( [1465/8, 1467/8[ )
( [548, 588[ [100, 100[ ) ( [1467/8, 1469/8[ )
( [588, 628[ [100, 100[ ) ( [1469/8, 1471/8[ )
( [628, 668[ [100, 100[ ) ( [1471/8, 1473/8[ )
( [668, 708[ [100, 100[ ) ( [1473/8, 1475/8[ )
