( [30, 68[ [100, 100[ ) ( [33/8, 35/8[ )
( [68, 108[ [100, 100[ ) ( [35/8, 37/8[ )
( [108, 148[ [100, 100[ ) ( [37/8, 39/8[ )
( [148, 188[ [100, 100[ ) ( [39/8, 41/8[ )
( [188, 228[ [100, 100[ ) ( [41/8, 43/8[ )
( [228, 268[ [100, 100[ ) ( [43/8, 45/8[ )
( [268, 308[ [100, 100[ ) ( [45/8, 47/8[ )
( [308, 348[ [100, 100[ ) ( [47/8, 49/8[ )
( [348, 388[ [100, 100[ ) ( [49/8, 51/8[ )
( [388, 428[ [100, 100[ ) ( [51/8, 53/8[ )
( [428, 468[ [100, 100[ ) ( [53/8, 55/8[ )
( [468, 508[ [100, 100[ ) ( [55/8, 57/8[ )
( [508, 548[ [100, 100[ ) ( [57/8, 59/8[ )
( [548, 588[ [100, 100[ ) ( [59/8, 61/8[ )
( [588, 628[ [100, 100[ ) ( [61/8, 63/8[ )
( [628, 668[ [100, 100[ ) ( [63/8, 65/8[ )
( [668, 708[ [100, 100[ ) ( [65/8, 67/8[ )
