( [31, 69[ [100, 100[ ) ( [865/8, 867/8[ )
( [69, 109[ [100, 100[ ) ( [867/8, 869/8[ )
( [109, 149[ [100, 100[ ) ( [869/8, 871/8[ )
( [149, 189[ [100, 100[ ) ( [871/8, 873/8[ )
( [189, 229[ [100, 100[ ) ( [873/8, 875/8[ )
( [229, 269[ [100, 100[ ) ( [875/8, 877/8[ )
( [269, 309[ [100, 100[ ) ( [877/8, 879/8[ )
( [309, 349[ [100, 100[ ) ( [879/8, 881/8[ )
( [349, 389[ [100, 100[ ) ( [881/8, 883/8[ )
( [389, 429[ [100, 100[ ) ( [883/8, 885/8[ )
( [429, 469[ [100, 100[ ) ( [885/8, 887/8[ )
( [469, 509[ [100, 100[ ) ( [887/8, 889/8[ )
( [509, 549[ [100, 100[ ) ( [889/8, 891/8[ )
( [549, 589[ [100, 100[ ) ( [891/8, 893/8[ )
( [589, 629[ [100, 100[ ) ( [893/8, 895/8[ )
( [629, 669[ [100, 100[ ) ( [895/8, 897/8[ )
( [669, 709[ [100, 100[ ) ( [897/8, 899/8[ )
