( [31, 69[ [100, 100[ ) ( [289/8, 291/8[ )
( [69, 109[ [100, 100[ ) ( [291/8, 293/8[ )
( [109, 149[ [100, 100[ ) ( [293/8, 295/8[ )
( [149, 189[ [100, 100[ ) ( [295/8, 297/8[ )
( [189, 229[ [100, 100[ ) ( [297/8, 299/8[ )
( [229, 269[ [100, 100[ ) ( [299/8, 301/8[ )
( [269, 309[ [100, 100[ ) ( [301/8, 303/8[ )
( [309, 349[ [100, 100[ ) ( [303/8, 305/8[ )
( [349, 389[ [100, 100[ ) ( [305/8, 307/8[ )
( [389, 429[ [100, 100[ ) ( [307/8, 309/8[ )
( [429, 469[ [100, 100[ ) ( [309/8, 311/8[ )
( [469, 509[ [100, 100[ ) ( [311/8, 313/8[ )
( [509, 549[ [100, 100[ ) ( [313/8, 315/8[ )
( [549, 589[ [100, 100[ ) ( [315/8, 317/8[ )
( [589, 629[ [100, 100[ ) ( [317/8, 319/8[ )
( [629, 669[ [100, 100[ ) ( [319/8, 321/8[ )
( [669, 709[ [100, 100[ ) ( [321/8, 323/8[ )
