( [30, 68[ [100, 100[ ) ( [1569/8, 1571/8[ )
( [68, 108[ [100, 100[ ) ( [1571/8, 1573/8[ )
( [108, 148[ [100, 100[ ) ( [1573/8, 1575/8[ )
( [148, 188[ [100, 100[ ) ( [1575/8, 1577/8[ )
( [188, 228[ [100, 100[ ) ( [1577/8, 1579/8[ )
( [228, 268[ [100, 100[ ) ( [1579/8, 1581/8[ )
( [268, 308[ [100, 100[ ) ( [1581/8, 1583/8[ )
( [308, 348[ [100, 100[ ) ( [1583/8, 1585/8[ )
( [348, 388[ [100, 100[ ) ( [1585/8, 1587/8[ )
( [388, 428[ [100, 100[ ) ( [1587/8, 1589/8[ )
( [428, 468[ [100, 100[ ) ( [1589/8, 1591/8[ )
( [468, 508[ [100, 100[ ) ( [1591/8, 1593/8[ )
( [508, 548[ [100, 100[ ) ( [1593/8, 1595/8[ )
( [548, 588[ [100, 100[ ) ( [1595/8, 1597/8[ )
( [588, 628[ [100, 100[ ) ( [1597/8, 1599/8[ )
( [628, 668[ [100, 100[ ) ( [1599/8, 1601/8[ )
( [668, 708[ [100, 100[ ) ( [1601/8, 1603/8[ )
