( [30, 68[ [100, 100[ ) ( [993/8, 995/8[ )
( [68, 108[ [100, 100[ ) ( [995/8, 997/8[ )
( [108, 148[ [100, 100[ ) ( [997/8, 999/8[ )
( [148, 188[ [100, 100[ ) ( [999/8, 1001/8[ )
( [188, 228[ [100, 100[ ) ( [1001/8, 1003/8[ )
( [228, 268[ [100, 100[ ) ( [1003/8, 1005/8[ )
( [268, 308[ [100, 100[ ) ( [1005/8, 1007/8[ )
( [308, 348[ [100, 100[ ) ( [1007/8, 1009/8[ )
( [348, 388[ [100, 100[ ) ( [1009/8, 1011/8[ )
( [388, 428[ [100, 100[ ) ( [1011/8, 1013/8[ )
( [428, 468[ [100, 100[ ) ( [1013/8, 1015/8[ )
( [468, 508[ [100, 100[ ) ( [1015/8, 1017/8[ )
( [508, 548[ [100, 100[ ) ( [1017/8, 1019/8[ )
( [548, 588[ [100, 100[ ) ( [1019/8, 1021/8[ )
( [588, 628[ [100, 100[ ) ( [1021/8, 1023/8[ )
( [628, 668[ [100, 100[ ) ( [1023/8, 1025/8[ )
( [668, 708[ [100, 100[ ) ( [1025/8, 1027/8[ )
