( [30, 68[ [100, 100[ ) ( [97/8, 99/8[ )
( [68, 108[ [100, 100[ ) ( [99/8, 101/8[ )
( [108, 148[ [100, 100[ ) ( [101/8, 103/8[ )
( [148, 188[ [100, 100[ ) ( [103/8, 105/8[ )
( [188, 228[ [100, 100[ ) ( [105/8, 107/8[ )
( [228, 268[ [100, 100[ ) ( [107/8, 109/8[ )
( [268, 308[ [100, 100[ ) ( [109/8, 111/8[ )
( [308, 348[ [100, 100[ ) ( [111/8, 113/8[ )
( [348, 388[ [100, 100[ ) ( [113/8, 115/8[ )
( [388, 428[ [100, 100[ ) ( [115/8, 117/8[ )
( [428, 468[ [100, 100[ ) ( [117/8, 119/8[ )
( [468, 508[ [100, 100[ ) ( [119/8, 121/8[ )
( [508, 548[ [100, 100[ ) ( [121/8, 123/8[ )
( [548, 588[ [100, 100[ ) ( [123/8, 125/8[ )
( [588, 628[ [100, 100[ ) ( [125/8, 127/8[ )
( [628, 668[ [100, 100[ ) ( [127/8, 129/8[ )
( [668, 708[ [100, 100[ ) ( [129/8, 131/8[ )
