( [31, 69[ [100, 100[ ) ( [1057/8, 1059/8[ )
( [69, 109[ [100, 100[ ) ( [1059/8, 1061/8[ )
( [109, 149[ [100, 100[ ) ( [1061/8, 1063/8[ )
( [149, 189[ [100, 100[ ) ( [1063/8, 1065/8[ )
( [189, 229[ [100, 100[ ) ( [1065/8, 1067/8[ )
( [229, 269[ [100, 100[ ) ( [1067/8, 1069/8[ )
( [269, 309[ [100, 100[ ) ( [1069/8, 1071/8[ )
( [309, 349[ [100, 100[ ) ( [1071/8, 1073/8[ )
( [349, 389[ [100, 100[ ) ( [1073/8, 1075/8[ )
( [389, 429[ [100, 100[ ) ( [1075/8, 1077/8[ )
( [429, 469[ [100, 100[ ) ( [1077/8, 1079/8[ )
( [469, 509[ [100, 100[ ) ( [1079/8, 1081/8[ )
( [509, 549[ [100, 100[ ) ( [1081/8, 1083/8[ )
( [549, 589[ [100, 100[ ) ( [1083/8, 1085/8[ )
( [589, 629[ [100, 100[ ) ( [1085/8, 1087/8[ )
( [629, 669[ [100, 100[ ) ( [1087/8, 1089/8[ )
( [669, 709[ [100, 100[ ) ( [1089/8, 1091/8[ )
