( [31, 69[ [100, 100[ ) ( [321/8, 323/8[ )
( [69, 109[ [100, 100[ ) ( [323/8, 325/8[ )
( [109, 149[ [100, 100[ ) ( [325/8, 327/8[ )
( [149, 189[ [100, 100[ ) ( [327/8, 329/8[ )
( [189, 229[ [100, 100[ ) ( [329/8, 331/8[ )
( [229, 269[ [100, 100[ ) ( [331/8, 333/8[ )
( [269, 309[ [100, 100[ ) ( [333/8, 335/8[ )
( [309, 349[ [100, 100[ ) ( [335/8, 337/8[ )
( [349, 389[ [100, 100[ ) ( [337/8, 339/8[ )
( [389, 429[ [100, 100[ ) ( [339/8, 341/8[ )
( [429, 469[ [100, 100[ ) ( [341/8, 343/8[ )
( [469, 509[ [100, 100[ ) ( [343/8, 345/8[ )
( [509, 549[ [100, 100[ ) ( [345/8, 347/8[ )
( [549, 589[ [100, 100[ ) ( [347/8, 349/8[ )
( [589, 629[ [100, 100[ ) ( [349/8, 351/8[ )
( [629, 669[ [100, 100[ ) ( [351/8, 353/8[ )
( [669, 709[ [100, 100[ ) ( [353/8, 355/8[ )
