( [30, 68[ [100, 100[ ) ( [321/8, 323/8[ )
( [68, 108[ [100, 100[ ) ( [323/8, 325/8[ )
( [108, 148[ [100, 100[ ) ( [325/8, 327/8[ )
( [148, 188[ [100, 100[ ) ( [327/8, 329/8[ )
( [188, 228[ [100, 100[ ) ( [329/8, 331/8[ )
( [228, 268[ [100, 100[ ) ( [331/8, 333/8[ )
( [268, 308[ [100, 100[ ) ( [333/8, 335/8[ )
( [308, 348[ [100, 100[ ) ( [335/8, 337/8[ )
( [348, 388[ [100, 100[ ) ( [337/8, 339/8[ )
( [388, 428[ [100, 100[ ) ( [339/8, 341/8[ )
( [428, 468[ [100, 100[ ) ( [341/8, 343/8[ )
( [468, 508[ [100, 100[ ) ( [343/8, 345/8[ )
( [508, 548[ [100, 100[ ) ( [345/8, 347/8[ )
( [548, 588[ [100, 100[ ) ( [347/8, 349/8[ )
( [588, 628[ [100, 100[ ) ( [349/8, 351/8[ )
( [628, 668[ [100, 100[ ) ( [351/8, 353/8[ )
( [668, 708[ [100, 100[ ) ( [353/8, 355/8[ )
