( [30, 68[ [100, 100[ ) ( [353/8, 355/8[ )
( [68, 108[ [100, 100[ ) ( [355/8, 357/8[ )
( [108, 148[ [100, 100[ ) ( [357/8, 359/8[ )
( [148, 188[ [100, 100[ ) ( [359/8, 361/8[ )
( [188, 228[ [100, 100[ ) ( [361/8, 363/8[ )
( [228, 268[ [100, 100[ ) ( [363/8, 365/8[ )
( [268, 308[ [100, 100[ ) ( [365/8, 367/8[ )
( [308, 348[ [100, 100[ ) ( [367/8, 369/8[ )
( [348, 388[ [100, 100[ ) ( [369/8, 371/8[ )
( [388, 428[ [100, 100[ ) ( [371/8, 373/8[ )
( [428, 468[ [100, 100[ ) ( [373/8, 375/8[ )
( [468, 508[ [100, 100[ ) ( [375/8, 377/8[ )
( [508, 548[ [100, 100[ ) ( [377/8, 379/8[ )
( [548, 588[ [100, 100[ ) ( [379/8, 381/8[ )
( [588, 628[ [100, 100[ ) ( [381/8, 383/8[ )
( [628, 668[ [100, 100[ ) ( [383/8, 385/8[ )
( [668, 708[ [100, 100[ ) ( [385/8, 387/8[ )
