( [31, 69[ [100, 100[ ) ( [1473/8, 1475/8[ )
( [69, 109[ [100, 100[ ) ( [1475/8, 1477/8[ )
( [109, 149[ [100, 100[ ) ( [1477/8, 1479/8[ )
( [149, 189[ [100, 100[ ) ( [1479/8, 1481/8[ )
( [189, 229[ [100, 100[ ) ( [1481/8, 1483/8[ )
( [229, 269[ [100, 100[ ) ( [1483/8, 1485/8[ )
( [269, 309[ [100, 100[ ) ( [1485/8, 1487/8[ )
( [309, 349[ [100, 100[ ) ( [1487/8, 1489/8[ )
( [349, 389[ [100, 100[ ) ( [1489/8, 1491/8[ )
( [389, 429[ [100, 100[ ) ( [1491/8, 1493/8[ )
( [429, 469[ [100, 100[ ) ( [1493/8, 1495/8[ )
( [469, 509[ [100, 100[ ) ( [1495/8, 1497/8[ )
( [509, 549[ [100, 100[ ) ( [1497/8, 1499/8[ )
( [549, 589[ [100, 100[ ) ( [1499/8, 1501/8[ )
( [589, 629[ [100, 100[ ) ( [1501/8, 1503/8[ )
( [629, 669[ [100, 100[ ) ( [1503/8, 1505/8[ )
( [669, 709[ [100, 100[ ) ( [1505/8, 1507/8[ )
