( [30, 68[ [100, 100[ ) ( [1089/8, 1091/8[ )
( [68, 108[ [100, 100[ ) ( [1091/8, 1093/8[ )
( [108, 148[ [100, 100[ ) ( [1093/8, 1095/8[ )
( [148, 188[ [100, 100[ ) ( [1095/8, 1097/8[ )
( [188, 228[ [100, 100[ ) ( [1097/8, 1099/8[ )
( [228, 268[ [100, 100[ ) ( [1099/8, 1101/8[ )
( [268, 308[ [100, 100[ ) ( [1101/8, 1103/8[ )
( [308, 348[ [100, 100[ ) ( [1103/8, 1105/8[ )
( [348, 388[ [100, 100[ ) ( [1105/8, 1107/8[ )
( [388, 428[ [100, 100[ ) ( [1107/8, 1109/8[ )
( [428, 468[ [100, 100[ ) ( [1109/8, 1111/8[ )
( [468, 508[ [100, 100[ ) ( [1111/8, 1113/8[ )
( [508, 548[ [100, 100[ ) ( [1113/8, 1115/8[ )
( [548, 588[ [100, 100[ ) ( [1115/8, 1117/8[ )
( [588, 628[ [100, 100[ ) ( [1117/8, 1119/8[ )
( [628, 668[ [100, 100[ ) ( [1119/8, 1121/8[ )
( [668, 708[ [100, 100[ ) ( [1121/8, 1123/8[ )
