( [30, 68[ [100, 100[ ) ( [1409/8, 1411/8[ )
( [68, 108[ [100, 100[ ) ( [1411/8, 1413/8[ )
( [108, 148[ [100, 100[ ) ( [1413/8, 1415/8[ )
( [148, 188[ [100, 100[ ) ( [1415/8, 1417/8[ )
( [188, 228[ [100, 100[ ) ( [1417/8, 1419/8[ )
( [228, 268[ [100, 100[ ) ( [1419/8, 1421/8[ )
( [268, 308[ [100, 100[ ) ( [1421/8, 1423/8[ )
( [308, 348[ [100, 100[ ) ( [1423/8, 1425/8[ )
( [348, 388[ [100, 100[ ) ( [1425/8, 1427/8[ )
( [388, 428[ [100, 100[ ) ( [1427/8, 1429/8[ )
( [428, 468[ [100, 100[ ) ( [1429/8, 1431/8[ )
( [468, 508[ [100, 100[ ) ( [1431/8, 1433/8[ )
( [508, 548[ [100, 100[ ) ( [1433/8, 1435/8[ )
( [548, 588[ [100, 100[ ) ( [1435/8, 1437/8[ )
( [588, 628[ [100, 100[ ) ( [1437/8, 1439/8[ )
( [628, 668[ [100, 100[ ) ( [1439/8, 1441/8[ )
( [668, 708[ [100, 100[ ) ( [1441/8, 1443/8[ )
