( [31, 69[ [100, 100[ ) ( [353/8, 355/8[ )
( [69, 109[ [100, 100[ ) ( [355/8, 357/8[ )
( [109, 149[ [100, 100[ ) ( [357/8, 359/8[ )
( [149, 189[ [100, 100[ ) ( [359/8, 361/8[ )
( [189, 229[ [100, 100[ ) ( [361/8, 363/8[ )
( [229, 269[ [100, 100[ ) ( [363/8, 365/8[ )
( [269, 309[ [100, 100[ ) ( [365/8, 367/8[ )
( [309, 349[ [100, 100[ ) ( [367/8, 369/8[ )
( [349, 389[ [100, 100[ ) ( [369/8, 371/8[ )
( [389, 429[ [100, 100[ ) ( [371/8, 373/8[ )
( [429, 469[ [100, 100[ ) ( [373/8, 375/8[ )
( [469, 509[ [100, 100[ ) ( [375/8, 377/8[ )
( [509, 549[ [100, 100[ ) ( [377/8, 379/8[ )
( [549, 589[ [100, 100[ ) ( [379/8, 381/8[ )
( [589, 629[ [100, 100[ ) ( [381/8, 383/8[ )
( [629, 669[ [100, 100[ ) ( [383/8, 385/8[ )
( [669, 709[ [100, 100[ ) ( [385/8, 387/8[ )
