( [31, 69[ [100, 100[ ) ( [1761/8, 1763/8[ )
( [69, 109[ [100, 100[ ) ( [1763/8, 1765/8[ )
( [109, 149[ [100, 100[ ) ( [1765/8, 1767/8[ )
( [149, 189[ [100, 100[ ) ( [1767/8, 1769/8[ )
( [189, 229[ [100, 100[ ) ( [1769/8, 1771/8[ )
( [229, 269[ [100, 100[ ) ( [1771/8, 1773/8[ )
( [269, 309[ [100, 100[ ) ( [1773/8, 1775/8[ )
( [309, 349[ [100, 100[ ) ( [1775/8, 1777/8[ )
( [349, 389[ [100, 100[ ) ( [1777/8, 1779/8[ )
( [389, 429[ [100, 100[ ) ( [1779/8, 1781/8[ )
( [429, 469[ [100, 100[ ) ( [1781/8, 1783/8[ )
( [469, 509[ [100, 100[ ) ( [1783/8, 1785/8[ )
( [509, 549[ [100, 100[ ) ( [1785/8, 1787/8[ )
( [549, 589[ [100, 100[ ) ( [1787/8, 1789/8[ )
( [589, 629[ [100, 100[ ) ( [1789/8, 1791/8[ )
( [629, 669[ [100, 100[ ) ( [1791/8, 1793/8[ )
( [669, 709[ [100, 100[ ) ( [1793/8, 1795/8[ )
