( [30, 68[ [100, 100[ ) ( [801/8, 803/8[ )
( [68, 108[ [100, 100[ ) ( [803/8, 805/8[ )
( [108, 148[ [100, 100[ ) ( [805/8, 807/8[ )
( [148, 188[ [100, 100[ ) ( [807/8, 809/8[ )
( [188, 228[ [100, 100[ ) ( [809/8, 811/8[ )
( [228, 268[ [100, 100[ ) ( [811/8, 813/8[ )
( [268, 308[ [100, 100[ ) ( [813/8, 815/8[ )
( [308, 348[ [100, 100[ ) ( [815/8, 817/8[ )
( [348, 388[ [100, 100[ ) ( [817/8, 819/8[ )
( [388, 428[ [100, 100[ ) ( [819/8, 821/8[ )
( [428, 468[ [100, 100[ ) ( [821/8, 823/8[ )
( [468, 508[ [100, 100[ ) ( [823/8, 825/8[ )
( [508, 548[ [100, 100[ ) ( [825/8, 827/8[ )
( [548, 588[ [100, 100[ ) ( [827/8, 829/8[ )
( [588, 628[ [100, 100[ ) ( [829/8, 831/8[ )
( [628, 668[ [100, 100[ ) ( [831/8, 833/8[ )
( [668, 708[ [100, 100[ ) ( [833/8, 835/8[ )
