( [31, 69[ [100, 100[ ) ( [1313/8, 1315/8[ )
( [69, 109[ [100, 100[ ) ( [1315/8, 1317/8[ )
( [109, 149[ [100, 100[ ) ( [1317/8, 1319/8[ )
( [149, 189[ [100, 100[ ) ( [1319/8, 1321/8[ )
( [189, 229[ [100, 100[ ) ( [1321/8, 1323/8[ )
( [229, 269[ [100, 100[ ) ( [1323/8, 1325/8[ )
( [269, 309[ [100, 100[ ) ( [1325/8, 1327/8[ )
( [309, 349[ [100, 100[ ) ( [1327/8, 1329/8[ )
( [349, 389[ [100, 100[ ) ( [1329/8, 1331/8[ )
( [389, 429[ [100, 100[ ) ( [1331/8, 1333/8[ )
( [429, 469[ [100, 100[ ) ( [1333/8, 1335/8[ )
( [469, 509[ [100, 100[ ) ( [1335/8, 1337/8[ )
( [509, 549[ [100, 100[ ) ( [1337/8, 1339/8[ )
( [549, 589[ [100, 100[ ) ( [1339/8, 1341/8[ )
( [589, 629[ [100, 100[ ) ( [1341/8, 1343/8[ )
( [629, 669[ [100, 100[ ) ( [1343/8, 1345/8[ )
( [669, 709[ [100, 100[ ) ( [1345/8, 1347/8[ )
