( [30, 68[ [100, 100[ ) ( [1121/8, 1123/8[ )
( [68, 108[ [100, 100[ ) ( [1123/8, 1125/8[ )
( [108, 148[ [100, 100[ ) ( [1125/8, 1127/8[ )
( [148, 188[ [100, 100[ ) ( [1127/8, 1129/8[ )
( [188, 228[ [100, 100[ ) ( [1129/8, 1131/8[ )
( [228, 268[ [100, 100[ ) ( [1131/8, 1133/8[ )
( [268, 308[ [100, 100[ ) ( [1133/8, 1135/8[ )
( [308, 348[ [100, 100[ ) ( [1135/8, 1137/8[ )
( [348, 388[ [100, 100[ ) ( [1137/8, 1139/8[ )
( [388, 428[ [100, 100[ ) ( [1139/8, 1141/8[ )
( [428, 468[ [100, 100[ ) ( [1141/8, 1143/8[ )
( [468, 508[ [100, 100[ ) ( [1143/8, 1145/8[ )
( [508, 548[ [100, 100[ ) ( [1145/8, 1147/8[ )
( [548, 588[ [100, 100[ ) ( [1147/8, 1149/8[ )
( [588, 628[ [100, 100[ ) ( [1149/8, 1151/8[ )
( [628, 668[ [100, 100[ ) ( [1151/8, 1153/8[ )
( [668, 708[ [100, 100[ ) ( [1153/8, 1155/8[ )
