( [31, 69[ [100, 100[ ) ( [1409/8, 1411/8[ )
( [69, 109[ [100, 100[ ) ( [1411/8, 1413/8[ )
( [109, 149[ [100, 100[ ) ( [1413/8, 1415/8[ )
( [149, 189[ [100, 100[ ) ( [1415/8, 1417/8[ )
( [189, 229[ [100, 100[ ) ( [1417/8, 1419/8[ )
( [229, 269[ [100, 100[ ) ( [1419/8, 1421/8[ )
( [269, 309[ [100, 100[ ) ( [1421/8, 1423/8[ )
( [309, 349[ [100, 100[ ) ( [1423/8, 1425/8[ )
( [349, 389[ [100, 100[ ) ( [1425/8, 1427/8[ )
( [389, 429[ [100, 100[ ) ( [1427/8, 1429/8[ )
( [429, 469[ [100, 100[ ) ( [1429/8, 1431/8[ )
( [469, 509[ [100, 100[ ) ( [1431/8, 1433/8[ )
( [509, 549[ [100, 100[ ) ( [1433/8, 1435/8[ )
( [549, 589[ [100, 100[ ) ( [1435/8, 1437/8[ )
( [589, 629[ [100, 100[ ) ( [1437/8, 1439/8[ )
( [629, 669[ [100, 100[ ) ( [1439/8, 1441/8[ )
( [669, 709[ [100, 100[ ) ( [1441/8, 1443/8[ )
