( [31, 69[ [100, 100[ ) ( [1377/8, 1379/8[ )
( [69, 109[ [100, 100[ ) ( [1379/8, 1381/8[ )
( [109, 149[ [100, 100[ ) ( [1381/8, 1383/8[ )
( [149, 189[ [100, 100[ ) ( [1383/8, 1385/8[ )
( [189, 229[ [100, 100[ ) ( [1385/8, 1387/8[ )
( [229, 269[ [100, 100[ ) ( [1387/8, 1389/8[ )
( [269, 309[ [100, 100[ ) ( [1389/8, 1391/8[ )
( [309, 349[ [100, 100[ ) ( [1391/8, 1393/8[ )
( [349, 389[ [100, 100[ ) ( [1393/8, 1395/8[ )
( [389, 429[ [100, 100[ ) ( [1395/8, 1397/8[ )
( [429, 469[ [100, 100[ ) ( [1397/8, 1399/8[ )
( [469, 509[ [100, 100[ ) ( [1399/8, 1401/8[ )
( [509, 549[ [100, 100[ ) ( [1401/8, 1403/8[ )
( [549, 589[ [100, 100[ ) ( [1403/8, 1405/8[ )
( [589, 629[ [100, 100[ ) ( [1405/8, 1407/8[ )
( [629, 669[ [100, 100[ ) ( [1407/8, 1409/8[ )
( [669, 709[ [100, 100[ ) ( [1409/8, 1411/8[ )
