( [30, 68[ [100, 100[ ) ( [705/8, 707/8[ )
( [68, 108[ [100, 100[ ) ( [707/8, 709/8[ )
( [108, 148[ [100, 100[ ) ( [709/8, 711/8[ )
( [148, 188[ [100, 100[ ) ( [711/8, 713/8[ )
( [188, 228[ [100, 100[ ) ( [713/8, 715/8[ )
( [228, 268[ [100, 100[ ) ( [715/8, 717/8[ )
( [268, 308[ [100, 100[ ) ( [717/8, 719/8[ )
( [308, 348[ [100, 100[ ) ( [719/8, 721/8[ )
( [348, 388[ [100, 100[ ) ( [721/8, 723/8[ )
( [388, 428[ [100, 100[ ) ( [723/8, 725/8[ )
( [428, 468[ [100, 100[ ) ( [725/8, 727/8[ )
( [468, 508[ [100, 100[ ) ( [727/8, 729/8[ )
( [508, 548[ [100, 100[ ) ( [729/8, 731/8[ )
( [548, 588[ [100, 100[ ) ( [731/8, 733/8[ )
( [588, 628[ [100, 100[ ) ( [733/8, 735/8[ )
( [628, 668[ [100, 100[ ) ( [735/8, 737/8[ )
( [668, 708[ [100, 100[ ) ( [737/8, 739/8[ )
