( [31, 69[ [100, 100[ ) ( [1665/8, 1667/8[ )
( [69, 109[ [100, 100[ ) ( [1667/8, 1669/8[ )
( [109, 149[ [100, 100[ ) ( [1669/8, 1671/8[ )
( [149, 189[ [100, 100[ ) ( [1671/8, 1673/8[ )
( [189, 229[ [100, 100[ ) ( [1673/8, 1675/8[ )
( [229, 269[ [100, 100[ ) ( [1675/8, 1677/8[ )
( [269, 309[ [100, 100[ ) ( [1677/8, 1679/8[ )
( [309, 349[ [100, 100[ ) ( [1679/8, 1681/8[ )
( [349, 389[ [100, 100[ ) ( [1681/8, 1683/8[ )
( [389, 429[ [100, 100[ ) ( [1683/8, 1685/8[ )
( [429, 469[ [100, 100[ ) ( [1685/8, 1687/8[ )
( [469, 509[ [100, 100[ ) ( [1687/8, 1689/8[ )
( [509, 549[ [100, 100[ ) ( [1689/8, 1691/8[ )
( [549, 589[ [100, 100[ ) ( [1691/8, 1693/8[ )
( [589, 629[ [100, 100[ ) ( [1693/8, 1695/8[ )
( [629, 669[ [100, 100[ ) ( [1695/8, 1697/8[ )
( [669, 709[ [100, 100[ ) ( [1697/8, 1699/8[ )
