( [31, 69[ [100, 100[ ) ( [1025/8, 1027/8[ )
( [69, 109[ [100, 100[ ) ( [1027/8, 1029/8[ )
( [109, 149[ [100, 100[ ) ( [1029/8, 1031/8[ )
( [149, 189[ [100, 100[ ) ( [1031/8, 1033/8[ )
( [189, 229[ [100, 100[ ) ( [1033/8, 1035/8[ )
( [229, 269[ [100, 100[ ) ( [1035/8, 1037/8[ )
( [269, 309[ [100, 100[ ) ( [1037/8, 1039/8[ )
( [309, 349[ [100, 100[ ) ( [1039/8, 1041/8[ )
( [349, 389[ [100, 100[ ) ( [1041/8, 1043/8[ )
( [389, 429[ [100, 100[ ) ( [1043/8, 1045/8[ )
( [429, 469[ [100, 100[ ) ( [1045/8, 1047/8[ )
( [469, 509[ [100, 100[ ) ( [1047/8, 1049/8[ )
( [509, 549[ [100, 100[ ) ( [1049/8, 1051/8[ )
( [549, 589[ [100, 100[ ) ( [1051/8, 1053/8[ )
( [589, 629[ [100, 100[ ) ( [1053/8, 1055/8[ )
( [629, 669[ [100, 100[ ) ( [1055/8, 1057/8[ )
( [669, 709[ [100, 100[ ) ( [1057/8, 1059/8[ )
