( [31, 69[ [100, 100[ ) ( [609/8, 611/8[ )
( [69, 109[ [100, 100[ ) ( [611/8, 613/8[ )
( [109, 149[ [100, 100[ ) ( [613/8, 615/8[ )
( [149, 189[ [100, 100[ ) ( [615/8, 617/8[ )
( [189, 229[ [100, 100[ ) ( [617/8, 619/8[ )
( [229, 269[ [100, 100[ ) ( [619/8, 621/8[ )
( [269, 309[ [100, 100[ ) ( [621/8, 623/8[ )
( [309, 349[ [100, 100[ ) ( [623/8, 625/8[ )
( [349, 389[ [100, 100[ ) ( [625/8, 627/8[ )
( [389, 429[ [100, 100[ ) ( [627/8, 629/8[ )
( [429, 469[ [100, 100[ ) ( [629/8, 631/8[ )
( [469, 509[ [100, 100[ ) ( [631/8, 633/8[ )
( [509, 549[ [100, 100[ ) ( [633/8, 635/8[ )
( [549, 589[ [100, 100[ ) ( [635/8, 637/8[ )
( [589, 629[ [100, 100[ ) ( [637/8, 639/8[ )
( [629, 669[ [100, 100[ ) ( [639/8, 641/8[ )
( [669, 709[ [100, 100[ ) ( [641/8, 643/8[ )
