( [30, 68[ [100, 100[ ) ( [1761/8, 1763/8[ )
( [68, 108[ [100, 100[ ) ( [1763/8, 1765/8[ )
( [108, 148[ [100, 100[ ) ( [1765/8, 1767/8[ )
( [148, 188[ [100, 100[ ) ( [1767/8, 1769/8[ )
( [188, 228[ [100, 100[ ) ( [1769/8, 1771/8[ )
( [228, 268[ [100, 100[ ) ( [1771/8, 1773/8[ )
( [268, 308[ [100, 100[ ) ( [1773/8, 1775/8[ )
( [308, 348[ [100, 100[ ) ( [1775/8, 1777/8[ )
( [348, 388[ [100, 100[ ) ( [1777/8, 1779/8[ )
( [388, 428[ [100, 100[ ) ( [1779/8, 1781/8[ )
( [428, 468[ [100, 100[ ) ( [1781/8, 1783/8[ )
( [468, 508[ [100, 100[ ) ( [1783/8, 1785/8[ )
( [508, 548[ [100, 100[ ) ( [1785/8, 1787/8[ )
( [548, 588[ [100, 100[ ) ( [1787/8, 1789/8[ )
( [588, 628[ [100, 100[ ) ( [1789/8, 1791/8[ )
( [628, 668[ [100, 100[ ) ( [1791/8, 1793/8[ )
( [668, 708[ [100, 100[ ) ( [1793/8, 1795/8[ )
