( [30, 68[ [100, 100[ ) ( [577/8, 579/8[ )
( [68, 108[ [100, 100[ ) ( [579/8, 581/8[ )
( [108, 148[ [100, 100[ ) ( [581/8, 583/8[ )
( [148, 188[ [100, 100[ ) ( [583/8, 585/8[ )
( [188, 228[ [100, 100[ ) ( [585/8, 587/8[ )
( [228, 268[ [100, 100[ ) ( [587/8, 589/8[ )
( [268, 308[ [100, 100[ ) ( [589/8, 591/8[ )
( [308, 348[ [100, 100[ ) ( [591/8, 593/8[ )
( [348, 388[ [100, 100[ ) ( [593/8, 595/8[ )
( [388, 428[ [100, 100[ ) ( [595/8, 597/8[ )
( [428, 468[ [100, 100[ ) ( [597/8, 599/8[ )
( [468, 508[ [100, 100[ ) ( [599/8, 601/8[ )
( [508, 548[ [100, 100[ ) ( [601/8, 603/8[ )
( [548, 588[ [100, 100[ ) ( [603/8, 605/8[ )
( [588, 628[ [100, 100[ ) ( [605/8, 607/8[ )
( [628, 668[ [100, 100[ ) ( [607/8, 609/8[ )
( [668, 708[ [100, 100[ ) ( [609/8, 611/8[ )
