( [31, 69[ [100, 100[ ) ( [577/8, 579/8[ )
( [69, 109[ [100, 100[ ) ( [579/8, 581/8[ )
( [109, 149[ [100, 100[ ) ( [581/8, 583/8[ )
( [149, 189[ [100, 100[ ) ( [583/8, 585/8[ )
( [189, 229[ [100, 100[ ) ( [585/8, 587/8[ )
( [229, 269[ [100, 100[ ) ( [587/8, 589/8[ )
( [269, 309[ [100, 100[ ) ( [589/8, 591/8[ )
( [309, 349[ [100, 100[ ) ( [591/8, 593/8[ )
( [349, 389[ [100, 100[ ) ( [593/8, 595/8[ )
( [389, 429[ [100, 100[ ) ( [595/8, 597/8[ )
( [429, 469[ [100, 100[ ) ( [597/8, 599/8[ )
( [469, 509[ [100, 100[ ) ( [599/8, 601/8[ )
( [509, 549[ [100, 100[ ) ( [601/8, 603/8[ )
( [549, 589[ [100, 100[ ) ( [603/8, 605/8[ )
( [589, 629[ [100, 100[ ) ( [605/8, 607/8[ )
( [629, 669[ [100, 100[ ) ( [607/8, 609/8[ )
( [669, 709[ [100, 100[ ) ( [609/8, 611/8[ )
