( [30, 68[ [100, 100[ ) ( [513/8, 515/8[ )
( [68, 108[ [100, 100[ ) ( [515/8, 517/8[ )
( [108, 148[ [100, 100[ ) ( [517/8, 519/8[ )
( [148, 188[ [100, 100[ ) ( [519/8, 521/8[ )
( [188, 228[ [100, 100[ ) ( [521/8, 523/8[ )
( [228, 268[ [100, 100[ ) ( [523/8, 525/8[ )
( [268, 308[ [100, 100[ ) ( [525/8, 527/8[ )
( [308, 348[ [100, 100[ ) ( [527/8, 529/8[ )
( [348, 388[ [100, 100[ ) ( [529/8, 531/8[ )
( [388, 428[ [100, 100[ ) ( [531/8, 533/8[ )
( [428, 468[ [100, 100[ ) ( [533/8, 535/8[ )
( [468, 508[ [100, 100[ ) ( [535/8, 537/8[ )
( [508, 548[ [100, 100[ ) ( [537/8, 539/8[ )
( [548, 588[ [100, 100[ ) ( [539/8, 541/8[ )
( [588, 628[ [100, 100[ ) ( [541/8, 543/8[ )
( [628, 668[ [100, 100[ ) ( [543/8, 545/8[ )
( [668, 708[ [100, 100[ ) ( [545/8, 547/8[ )
