( [30, 68[ [100, 100[ ) ( [1601/8, 1603/8[ )
( [68, 108[ [100, 100[ ) ( [1603/8, 1605/8[ )
( [108, 148[ [100, 100[ ) ( [1605/8, 1607/8[ )
( [148, 188[ [100, 100[ ) ( [1607/8, 1609/8[ )
( [188, 228[ [100, 100[ ) ( [1609/8, 1611/8[ )
( [228, 268[ [100, 100[ ) ( [1611/8, 1613/8[ )
( [268, 308[ [100, 100[ ) ( [1613/8, 1615/8[ )
( [308, 348[ [100, 100[ ) ( [1615/8, 1617/8[ )
( [348, 388[ [100, 100[ ) ( [1617/8, 1619/8[ )
( [388, 428[ [100, 100[ ) ( [1619/8, 1621/8[ )
( [428, 468[ [100, 100[ ) ( [1621/8, 1623/8[ )
( [468, 508[ [100, 100[ ) ( [1623/8, 1625/8[ )
( [508, 548[ [100, 100[ ) ( [1625/8, 1627/8[ )
( [548, 588[ [100, 100[ ) ( [1627/8, 1629/8[ )
( [588, 628[ [100, 100[ ) ( [1629/8, 1631/8[ )
( [628, 668[ [100, 100[ ) ( [1631/8, 1633/8[ )
( [668, 708[ [100, 100[ ) ( [1633/8, 1635/8[ )
