( [30, 68[ [100, 100[ ) ( [1729/8, 1731/8[ )
( [68, 108[ [100, 100[ ) ( [1731/8, 1733/8[ )
( [108, 148[ [100, 100[ ) ( [1733/8, 1735/8[ )
( [148, 188[ [100, 100[ ) ( [1735/8, 1737/8[ )
( [188, 228[ [100, 100[ ) ( [1737/8, 1739/8[ )
( [228, 268[ [100, 100[ ) ( [1739/8, 1741/8[ )
( [268, 308[ [100, 100[ ) ( [1741/8, 1743/8[ )
( [308, 348[ [100, 100[ ) ( [1743/8, 1745/8[ )
( [348, 388[ [100, 100[ ) ( [1745/8, 1747/8[ )
( [388, 428[ [100, 100[ ) ( [1747/8, 1749/8[ )
( [428, 468[ [100, 100[ ) ( [1749/8, 1751/8[ )
( [468, 508[ [100, 100[ ) ( [1751/8, 1753/8[ )
( [508, 548[ [100, 100[ ) ( [1753/8, 1755/8[ )
( [548, 588[ [100, 100[ ) ( [1755/8, 1757/8[ )
( [588, 628[ [100, 100[ ) ( [1757/8, 1759/8[ )
( [628, 668[ [100, 100[ ) ( [1759/8, 1761/8[ )
( [668, 708[ [100, 100[ ) ( [1761/8, 1763/8[ )
