( [31, 69[ [100, 100[ ) ( [417/8, 419/8[ )
( [69, 109[ [100, 100[ ) ( [419/8, 421/8[ )
( [109, 149[ [100, 100[ ) ( [421/8, 423/8[ )
( [149, 189[ [100, 100[ ) ( [423/8, 425/8[ )
( [189, 229[ [100, 100[ ) ( [425/8, 427/8[ )
( [229, 269[ [100, 100[ ) ( [427/8, 429/8[ )
( [269, 309[ [100, 100[ ) ( [429/8, 431/8[ )
( [309, 349[ [100, 100[ ) ( [431/8, 433/8[ )
( [349, 389[ [100, 100[ ) ( [433/8, 435/8[ )
( [389, 429[ [100, 100[ ) ( [435/8, 437/8[ )
( [429, 469[ [100, 100[ ) ( [437/8, 439/8[ )
( [469, 509[ [100, 100[ ) ( [439/8, 441/8[ )
( [509, 549[ [100, 100[ ) ( [441/8, 443/8[ )
( [549, 589[ [100, 100[ ) ( [443/8, 445/8[ )
( [589, 629[ [100, 100[ ) ( [445/8, 447/8[ )
( [629, 669[ [100, 100[ ) ( [447/8, 449/8[ )
( [669, 709[ [100, 100[ ) ( [449/8, 451/8[ )
