( [30, 68[ [100, 100[ ) ( [1377/8, 1379/8[ )
( [68, 108[ [100, 100[ ) ( [1379/8, 1381/8[ )
( [108, 148[ [100, 100[ ) ( [1381/8, 1383/8[ )
( [148, 188[ [100, 100[ ) ( [1383/8, 1385/8[ )
( [188, 228[ [100, 100[ ) ( [1385/8, 1387/8[ )
( [228, 268[ [100, 100[ ) ( [1387/8, 1389/8[ )
( [268, 308[ [100, 100[ ) ( [1389/8, 1391/8[ )
( [308, 348[ [100, 100[ ) ( [1391/8, 1393/8[ )
( [348, 388[ [100, 100[ ) ( [1393/8, 1395/8[ )
( [388, 428[ [100, 100[ ) ( [1395/8, 1397/8[ )
( [428, 468[ [100, 100[ ) ( [1397/8, 1399/8[ )
( [468, 508[ [100, 100[ ) ( [1399/8, 1401/8[ )
( [508, 548[ [100, 100[ ) ( [1401/8, 1403/8[ )
( [548, 588[ [100, 100[ ) ( [1403/8, 1405/8[ )
( [588, 628[ [100, 100[ ) ( [1405/8, 1407/8[ )
( [628, 668[ [100, 100[ ) ( [1407/8, 1409/8[ )
( [668, 708[ [100, 100[ ) ( [1409/8, 1411/8[ )
