( [30, 68[ [100, 100[ ) ( [129/8, 131/8[ )
( [68, 108[ [100, 100[ ) ( [131/8, 133/8[ )
( [108, 148[ [100, 100[ ) ( [133/8, 135/8[ )
( [148, 188[ [100, 100[ ) ( [135/8, 137/8[ )
( [188, 228[ [100, 100[ ) ( [137/8, 139/8[ )
( [228, 268[ [100, 100[ ) ( [139/8, 141/8[ )
( [268, 308[ [100, 100[ ) ( [141/8, 143/8[ )
( [308, 348[ [100, 100[ ) ( [143/8, 145/8[ )
( [348, 388[ [100, 100[ ) ( [145/8, 147/8[ )
( [388, 428[ [100, 100[ ) ( [147/8, 149/8[ )
( [428, 468[ [100, 100[ ) ( [149/8, 151/8[ )
( [468, 508[ [100, 100[ ) ( [151/8, 153/8[ )
( [508, 548[ [100, 100[ ) ( [153/8, 155/8[ )
( [548, 588[ [100, 100[ ) ( [155/8, 157/8[ )
( [588, 628[ [100, 100[ ) ( [157/8, 159/8[ )
( [628, 668[ [100, 100[ ) ( [159/8, 161/8[ )
( [668, 708[ [100, 100[ ) ( [161/8, 163/8[ )
