( [31, 69[ [100, 100[ ) ( [1153/8, 1155/8[ )
( [69, 109[ [100, 100[ ) ( [1155/8, 1157/8[ )
( [109, 149[ [100, 100[ ) ( [1157/8, 1159/8[ )
( [149, 189[ [100, 100[ ) ( [1159/8, 1161/8[ )
( [189, 229[ [100, 100[ ) ( [1161/8, 1163/8[ )
( [229, 269[ [100, 100[ ) ( [1163/8, 1165/8[ )
( [269, 309[ [100, 100[ ) ( [1165/8, 1167/8[ )
( [309, 349[ [100, 100[ ) ( [1167/8, 1169/8[ )
( [349, 389[ [100, 100[ ) ( [1169/8, 1171/8[ )
( [389, 429[ [100, 100[ ) ( [1171/8, 1173/8[ )
( [429, 469[ [100, 100[ ) ( [1173/8, 1175/8[ )
( [469, 509[ [100, 100[ ) ( [1175/8, 1177/8[ )
( [509, 549[ [100, 100[ ) ( [1177/8, 1179/8[ )
( [549, 589[ [100, 100[ ) ( [1179/8, 1181/8[ )
( [589, 629[ [100, 100[ ) ( [1181/8, 1183/8[ )
( [629, 669[ [100, 100[ ) ( [1183/8, 1185/8[ )
( [669, 709[ [100, 100[ ) ( [1185/8, 1187/8[ )
