( [31, 69[ [100, 100[ ) ( [257/8, 259/8[ )
( [69, 109[ [100, 100[ ) ( [259/8, 261/8[ )
( [109, 149[ [100, 100[ ) ( [261/8, 263/8[ )
( [149, 189[ [100, 100[ ) ( [263/8, 265/8[ )
( [189, 229[ [100, 100[ ) ( [265/8, 267/8[ )
( [229, 269[ [100, 100[ ) ( [267/8, 269/8[ )
( [269, 309[ [100, 100[ ) ( [269/8, 271/8[ )
( [309, 349[ [100, 100[ ) ( [271/8, 273/8[ )
( [349, 389[ [100, 100[ ) ( [273/8, 275/8[ )
( [389, 429[ [100, 100[ ) ( [275/8, 277/8[ )
( [429, 469[ [100, 100[ ) ( [277/8, 279/8[ )
( [469, 509[ [100, 100[ ) ( [279/8, 281/8[ )
( [509, 549[ [100, 100[ ) ( [281/8, 283/8[ )
( [549, 589[ [100, 100[ ) ( [283/8, 285/8[ )
( [589, 629[ [100, 100[ ) ( [285/8, 287/8[ )
( [629, 669[ [100, 100[ ) ( [287/8, 289/8[ )
( [669, 709[ [100, 100[ ) ( [289/8, 291/8[ )
