( [31, 69[ [100, 100[ ) ( [673/8, 675/8[ )
( [69, 109[ [100, 100[ ) ( [675/8, 677/8[ )
( [109, 149[ [100, 100[ ) ( [677/8, 679/8[ )
( [149, 189[ [100, 100[ ) ( [679/8, 681/8[ )
( [189, 229[ [100, 100[ ) ( [681/8, 683/8[ )
( [229, 269[ [100, 100[ ) ( [683/8, 685/8[ )
( [269, 309[ [100, 100[ ) ( [685/8, 687/8[ )
( [309, 349[ [100, 100[ ) ( [687/8, 689/8[ )
( [349, 389[ [100, 100[ ) ( [689/8, 691/8[ )
( [389, 429[ [100, 100[ ) ( [691/8, 693/8[ )
( [429, 469[ [100, 100[ ) ( [693/8, 695/8[ )
( [469, 509[ [100, 100[ ) ( [695/8, 697/8[ )
( [509, 549[ [100, 100[ ) ( [697/8, 699/8[ )
( [549, 589[ [100, 100[ ) ( [699/8, 701/8[ )
( [589, 629[ [100, 100[ ) ( [701/8, 703/8[ )
( [629, 669[ [100, 100[ ) ( [703/8, 705/8[ )
( [669, 709[ [100, 100[ ) ( [705/8, 707/8[ )
