( [30, 68[ [100, 100[ ) ( [1217/8, 1219/8[ )
( [68, 108[ [100, 100[ ) ( [1219/8, 1221/8[ )
( [108, 148[ [100, 100[ ) ( [1221/8, 1223/8[ )
( [148, 188[ [100, 100[ ) ( [1223/8, 1225/8[ )
( [188, 228[ [100, 100[ ) ( [1225/8, 1227/8[ )
( [228, 268[ [100, 100[ ) ( [1227/8, 1229/8[ )
( [268, 308[ [100, 100[ ) ( [1229/8, 1231/8[ )
( [308, 348[ [100, 100[ ) ( [1231/8, 1233/8[ )
( [348, 388[ [100, 100[ ) ( [1233/8, 1235/8[ )
( [388, 428[ [100, 100[ ) ( [1235/8, 1237/8[ )
( [428, 468[ [100, 100[ ) ( [1237/8, 1239/8[ )
( [468, 508[ [100, 100[ ) ( [1239/8, 1241/8[ )
( [508, 548[ [100, 100[ ) ( [1241/8, 1243/8[ )
( [548, 588[ [100, 100[ ) ( [1243/8, 1245/8[ )
( [588, 628[ [100, 100[ ) ( [1245/8, 1247/8[ )
( [628, 668[ [100, 100[ ) ( [1247/8, 1249/8[ )
( [668, 708[ [100, 100[ ) ( [1249/8, 1251/8[ )
