( [31, 69[ [100, 100[ ) ( [897/8, 899/8[ )
( [69, 109[ [100, 100[ ) ( [899/8, 901/8[ )
( [109, 149[ [100, 100[ ) ( [901/8, 903/8[ )
( [149, 189[ [100, 100[ ) ( [903/8, 905/8[ )
( [189, 229[ [100, 100[ ) ( [905/8, 907/8[ )
( [229, 269[ [100, 100[ ) ( [907/8, 909/8[ )
( [269, 309[ [100, 100[ ) ( [909/8, 911/8[ )
( [309, 349[ [100, 100[ ) ( [911/8, 913/8[ )
( [349, 389[ [100, 100[ ) ( [913/8, 915/8[ )
( [389, 429[ [100, 100[ ) ( [915/8, 917/8[ )
( [429, 469[ [100, 100[ ) ( [917/8, 919/8[ )
( [469, 509[ [100, 100[ ) ( [919/8, 921/8[ )
( [509, 549[ [100, 100[ ) ( [921/8, 923/8[ )
( [549, 589[ [100, 100[ ) ( [923/8, 925/8[ )
( [589, 629[ [100, 100[ ) ( [925/8, 927/8[ )
( [629, 669[ [100, 100[ ) ( [927/8, 929/8[ )
( [669, 709[ [100, 100[ ) ( [929/8, 931/8[ )
