( [30, 68[ [100, 100[ ) ( [929/8, 931/8[ )
( [68, 108[ [100, 100[ ) ( [931/8, 933/8[ )
( [108, 148[ [100, 100[ ) ( [933/8, 935/8[ )
( [148, 188[ [100, 100[ ) ( [935/8, 937/8[ )
( [188, 228[ [100, 100[ ) ( [937/8, 939/8[ )
( [228, 268[ [100, 100[ ) ( [939/8, 941/8[ )
( [268, 308[ [100, 100[ ) ( [941/8, 943/8[ )
( [308, 348[ [100, 100[ ) ( [943/8, 945/8[ )
( [348, 388[ [100, 100[ ) ( [945/8, 947/8[ )
( [388, 428[ [100, 100[ ) ( [947/8, 949/8[ )
( [428, 468[ [100, 100[ ) ( [949/8, 951/8[ )
( [468, 508[ [100, 100[ ) ( [951/8, 953/8[ )
( [508, 548[ [100, 100[ ) ( [953/8, 955/8[ )
( [548, 588[ [100, 100[ ) ( [955/8, 957/8[ )
( [588, 628[ [100, 100[ ) ( [957/8, 959/8[ )
( [628, 668[ [100, 100[ ) ( [959/8, 961/8[ )
( [668, 708[ [100, 100[ ) ( [961/8, 963/8[ )
