( [31, 69[ [100, 100[ ) ( [929/8, 931/8[ )
( [69, 109[ [100, 100[ ) ( [931/8, 933/8[ )
( [109, 149[ [100, 100[ ) ( [933/8, 935/8[ )
( [149, 189[ [100, 100[ ) ( [935/8, 937/8[ )
( [189, 229[ [100, 100[ ) ( [937/8, 939/8[ )
( [229, 269[ [100, 100[ ) ( [939/8, 941/8[ )
( [269, 309[ [100, 100[ ) ( [941/8, 943/8[ )
( [309, 349[ [100, 100[ ) ( [943/8, 945/8[ )
( [349, 389[ [100, 100[ ) ( [945/8, 947/8[ )
( [389, 429[ [100, 100[ ) ( [947/8, 949/8[ )
( [429, 469[ [100, 100[ ) ( [949/8, 951/8[ )
( [469, 509[ [100, 100[ ) ( [951/8, 953/8[ )
( [509, 549[ [100, 100[ ) ( [953/8, 955/8[ )
( [549, 589[ [100, 100[ ) ( [955/8, 957/8[ )
( [589, 629[ [100, 100[ ) ( [957/8, 959/8[ )
( [629, 669[ [100, 100[ ) ( [959/8, 961/8[ )
( [669, 709[ [100, 100[ ) ( [961/8, 963/8[ )
