( [30, 68[ [100, 100[ ) ( [1665/8, 1667/8[ )
( [68, 108[ [100, 100[ ) ( [1667/8, 1669/8[ )
( [108, 148[ [100, 100[ ) ( [1669/8, 1671/8[ )
( [148, 188[ [100, 100[ ) ( [1671/8, 1673/8[ )
( [188, 228[ [100, 100[ ) ( [1673/8, 1675/8[ )
( [228, 268[ [100, 100[ ) ( [1675/8, 1677/8[ )
( [268, 308[ [100, 100[ ) ( [1677/8, 1679/8[ )
( [308, 348[ [100, 100[ ) ( [1679/8, 1681/8[ )
( [348, 388[ [100, 100[ ) ( [1681/8, 1683/8[ )
( [388, 428[ [100, 100[ ) ( [1683/8, 1685/8[ )
( [428, 468[ [100, 100[ ) ( [1685/8, 1687/8[ )
( [468, 508[ [100, 100[ ) ( [1687/8, 1689/8[ )
( [508, 548[ [100, 100[ ) ( [1689/8, 1691/8[ )
( [548, 588[ [100, 100[ ) ( [1691/8, 1693/8[ )
( [588, 628[ [100, 100[ ) ( [1693/8, 1695/8[ )
( [628, 668[ [100, 100[ ) ( [1695/8, 1697/8[ )
( [668, 708[ [100, 100[ ) ( [1697/8, 1699/8[ )
