( [30, 68[ [100, 100[ ) ( [257/8, 259/8[ )
( [68, 108[ [100, 100[ ) ( [259/8, 261/8[ )
( [108, 148[ [100, 100[ ) ( [261/8, 263/8[ )
( [148, 188[ [100, 100[ ) ( [263/8, 265/8[ )
( [188, 228[ [100, 100[ ) ( [265/8, 267/8[ )
( [228, 268[ [100, 100[ ) ( [267/8, 269/8[ )
( [268, 308[ [100, 100[ ) ( [269/8, 271/8[ )
( [308, 348[ [100, 100[ ) ( [271/8, 273/8[ )
( [348, 388[ [100, 100[ ) ( [273/8, 275/8[ )
( [388, 428[ [100, 100[ ) ( [275/8, 277/8[ )
( [428, 468[ [100, 100[ ) ( [277/8, 279/8[ )
( [468, 508[ [100, 100[ ) ( [279/8, 281/8[ )
( [508, 548[ [100, 100[ ) ( [281/8, 283/8[ )
( [548, 588[ [100, 100[ ) ( [283/8, 285/8[ )
( [588, 628[ [100, 100[ ) ( [285/8, 287/8[ )
( [628, 668[ [100, 100[ ) ( [287/8, 289/8[ )
( [668, 708[ [100, 100[ ) ( [289/8, 291/8[ )
